Id2,Geography,Male; Estimate; Total population,Female; Estimate; Total population,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; Population 25 years and over - Bachelor's degree,Now married (except separated); Estimate; Population 15 years and over,Population,percent_hispanic
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",1650136,1656700,36.4,99.6,24,50.8,3306836,7.459396233
42680,"Sebastian-Vero Beach, FL Metro Area",64428,67383,47.2,95.6,16.7,57.8,131811,9.598591923
43100,"Sheboygan, WI Metro Area",57663,56459,39.2,102.1,15,57.5,114122,4.941203274
43300,"Sherman-Denison, TX Metro Area",57391,60522,38.4,94.8,13.2,52.9,117913,9.771611273
43340,"Shreveport-Bossier City, LA Metro Area",185816,201620,35.3,92.2,14.4,44.8,387436,2.918675601
43580,"Sioux City, IA-NE-SD Metro Area",70345,71885,35.4,97.9,14,53.1,142230,13.07178514
43620,"Sioux Falls, SD Metro Area",113462,113922,34.6,99.6,20.1,52,227384,3.438236639
43780,"South Bend-Mishawaka, IN-MI Metro Area",153930,162953,36.1,94.5,15,49.6,316883,5.663604548
43900,"Spartanburg, SC Metro Area",134868,141676,37.6,95.2,12.9,52.1,276544,4.969914372
44060,"Spokane, WA Metro Area",223652,231275,36.4,96.7,17.4,50.8,454927,3.883040576
44100,"Springfield, IL Metro Area",98950,107559,39.2,92,18.6,50.4,206509,1.373790004
44140,"Springfield, MA Metro Area",334128,361029,38.4,92.5,16.1,44.2,695157,13.69906366
44180,"Springfield, MO Metro Area",203802,213833,35.5,95.3,16,53.7,417635,2.3475044
44220,"Springfield, OH Metro Area",67726,72693,39.8,93.2,10.1,50.8,140419,1.831660958
44300,"State College, PA Metro Area",73915,70391,27.3,105,19.9,43,144306,2.270175876
44700,"Stockton, CA Metro Area",333069,331572,32,100.5,12.1,50.5,664641,36.39032199
44940,"Sumter, SC Metro Area",50225,54216,34.9,92.6,11,46.1,104441,2.542105112
45060,"Syracuse, NY Metro Area",313048,332254,38.3,94.2,16,47.9,645302,2.537106657
45220,"Tallahassee, FL Metro Area",170132,181781,31.3,93.6,19.2,40.4,351913,4.879330971
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1314677,1387713,40.4,94.7,17,49.7,2702390,14.1270875
45460,"Terre Haute, IN Metro Area",85236,84497,36.9,100.9,10.9,50.5,169733,1.347410344
45500,"Texarkana, TX-Texarkana, AR Metro Area",67341,67471,36.8,99.8,11,48.6,134812,4.554490698
45780,"Toledo, OH Metro Area",326406,347139,36.7,94,13.9,46.8,673545,5.221774343
45820,"Topeka, KS Metro Area",111765,116996,38.7,95.5,17.7,53.7,228761,7.376694454
45940,"Trenton-Ewing, NJ Metro Area",178935,184843,36.9,96.8,20.8,47.6,363778,12.83585044
46060,"Tucson, AZ Metro Area",484947,505266,36.8,96,17.5,46.4,990213,32.8046592
46140,"Tulsa, OK Metro Area",444481,460523,36,96.5,17.3,53.8,905004,7.269581129
46220,"Tuscaloosa, AL Metro Area",99571,106289,32.4,93.7,14.1,43.2,205860,1.687068882
46340,"Tyler, TX Metro Area",95249,102382,35.7,93,15.8,50.7,197631,15.24558394
46540,"Utica-Rome, NY Metro Area",146050,147418,40.5,99.1,12.3,49.3,293468,3.445009337
46660,"Valdosta, GA Metro Area",64425,66463,30.6,96.9,12.6,49,130888,4.390012835
46700,"Vallejo-Fairfield, CA Metro Area",204517,201944,35.9,101.3,16.9,50.5,406461,21.99743641
47020,"Victoria, TX Metro Area",55475,58121,36.7,95.4,11.5,54.4,113596,41.79988732
47220,"Vineland-Millville-Bridgeton, NJ Metro Area",80148,75118,36,106.7,9.5,41.8,155266,23.47841768
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",816321,853293,34.5,95.7,17.1,49.7,1669614,4.230618574
47300,"Visalia-Porterville, CA Metro Area",209465,206834,29.3,101.3,8.8,51.9,416299,56.65591318
47380,"Waco, TX Metro Area",111568,116801,31.3,95.5,13.2,46.4,228369,21.53926321
47580,"Warner Robins, GA Metro Area",63446,67464,34.1,94,15.2,52,130910,4.009624933
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2604633,2727664,35.9,95.5,24.8,49.6,5332297,12.17119001
47940,"Waterloo-Cedar Falls, IA Metro Area",78796,84244,36.1,93.5,16.6,52.1,163040,2.327649657
48140,"Wausau, WI Metro Area",65089,64714,38.9,100.6,13.9,59.8,129803,1.316610556
48260,"Weirton-Steubenville, WV-OH Metro Area",59133,63645,44,92.9,9.6,53.1,122778,0.755835736
48300,"Wenatchee-East Wenatchee, WA Metro Area",52886,53927,38.4,98.1,14.5,57.1,106813,23.67221218
48540,"Wheeling, WV-OH Metro Area",71205,74737,42.9,95.3,10.2,53.2,145942,0.637239451
48620,"Wichita, KS Metro Area",295476,301167,34.9,98.1,17.8,54.4,596643,9.336739055
48660,"Wichita Falls, TX Metro Area",74961,73541,34.4,101.9,14.1,53,148502,13.58163526
48700,"Williamsport, PA Metro Area",57609,59434,40.3,96.9,12.2,52.9,117043,0.971437848
48900,"Wilmington, NC Metro Area",164125,173458,39.9,94.6,19.2,52.6,337583,3.699534633
49020,"Winchester, VA-WV Metro Area",60223,60274,38.3,99.9,13.2,53.6,120497,5.903881424
49180,"Winston-Salem, NC Metro Area",226763,243821,38.2,93,17.9,52.2,470584,8.818829369
49340,"Worcester, MA Metro Area",391518,404208,38.4,96.9,19.9,50.7,795726,8.115607634
49420,"Yakima, WA Metro Area",116452,116459,32.1,100,9.6,50.8,232911,40.8306177
49620,"York-Hanover, PA Metro Area",207029,212534,39.5,97.4,13.8,56.4,419563,4.457971747
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",276462,295057,41.9,93.7,12,50.5,571519,2.091793974
49700,"Yuba City, CA Metro Area",80931,80706,32.5,100.3,11.4,53.7,161637,25.00417602
49740,"Yuma, AZ Metro Area",94135,94848,34.7,99.2,8.2,59.5,188983,55.67220332
